source,target,weight,community
Tanjiro,Muzan,18,0
Tanjiro,Nezuko,27,0
Tanjiro,Tamayo,70,0
Tanjiro,Yushiro,27,0
Tanjiro,Susamaru,39,0
Tanjiro,Yahaba,41,0
Muzan,Asakusa,6,1
Muzan,Tamayo,22,1
Muzan,Nezuko,20,1
Muzan,Yushiro,20,1
Muzan,Yahaba,6,1
Muzan,Susamaru,11,1
Nezuko,Yushiro,16,2
Nezuko,Tamayo,54,2
Nezuko,Susamaru,39,2
Nezuko,Yahaba,10,2
Nezuko,Rokuta,5,2
Tamayo,Yushiro,62,0
Tamayo,Yahaba,12,0
Tamayo,Susamaru,28,0
Yushiro,Yahaba,5,2
Yushiro,Susamaru,15,2
Yushiro,Rokuta,6,2
Yahaba,Susamaru,11,0
