source,target,weight,community
Nezuko,Hanako,5,4
Nezuko,Takeo,11,4
Nezuko,Rokuta,15,4
Nezuko,Tanjiro,646,4
Nezuko,Saburo,5,4
Nezuko,Sakonji,56,4
Nezuko,Giyu,42,4
Nezuko,Sabito,6,4
Nezuko,Kazumi,10,4
Nezuko,Asakusa,10,4
Nezuko,Yushiro,26,4
Nezuko,Tamayo,76,4
Nezuko,Muzan,111,4
Nezuko,Susamaru,39,4
Nezuko,Yahaba,10,4
Nezuko,Zenitsu,90,4
Nezuko,Shoichi,5,4
Nezuko,Inosuke,38,4
Nezuko,Shinobu,17,4
Nezuko,Rui,59,4
Nezuko,Kie,6,4
Nezuko,Kakushi,17,4
Nezuko,Tengen,53,4
Nezuko,Muichiro,15,4
Nezuko,Mitsuri,16,4
Nezuko,Sanemi,66,4
Nezuko,Kyojuro,5,4
Nezuko,Kagaya,11,4
Nezuko,Enmu,5,4
Nezuko,Daki,66,4
Nezuko,Gyutaro,10,4
Nezuko,Hantengu,40,4
Nezuko,Karaku,17,4
Nezuko,Genya,29,4
Nezuko,Urogi,16,4
Nezuko,Aizetsu,6,4
Nezuko,Sekido,17,4
Nezuko,Zohakuten,5,4
Nezuko,Aoi,10,4
Nezuko,Gyomei,6,4
Nezuko,Akaza,5,4
Nezuko,Shinjuro,5,4
Nezuko,Kiriya,11,4
Nezuko,Kuina,5,4
Nezuko,Kanata,6,4
Nezuko,Obanai,5,4
Nezuko,Kanao,6,4
Nezuko,Makio,6,4
Nezuko,Senjuro,6,4
Nezuko,Toko,6,4
Nezuko,Yoshiteru,6,4
Hanako,Shigeru,6,1
Hanako,Takeo,12,1
Hanako,Sakonji,5,1
Hanako,Tanjiro,17,1
Shigeru,Takeo,2,1
Shigeru,Tanjiro,5,1
Shigeru,Senjuro,5,1
Shigeru,Enmu,5,1
Takeo,Kazumi,6,1
Takeo,Tanjiro,16,1
Takeo,Kie,5,1
Takeo,Daki,5,1
Rokuta,Tanjiro,5,2
Rokuta,Yushiro,6,2
Tanjiro,Saburo,11,1
Tanjiro,Giyu,283,1
Tanjiro,Sakonji,138,1
Tanjiro,Sabito,80,1
Tanjiro,Haganezuka,21,1
Tanjiro,Tanjuro,22,1
Tanjiro,Kasugai,21,1
Tanjiro,Kazumi,25,1
Tanjiro,Satoko,6,1
Tanjiro,Muzan,326,1
Tanjiro,Asakusa,5,1
Tanjiro,Tamayo,134,1
Tanjiro,Yushiro,81,1
Tanjiro,Susamaru,39,1
Tanjiro,Yahaba,41,1
Tanjiro,Zenitsu,380,1
Tanjiro,Teruko,10,1
Tanjiro,Kiyoshi,12,1
Tanjiro,Kyogai,38,1
Tanjiro,Shoichi,16,1
Tanjiro,Inosuke,353,1
Tanjiro,Murata,27,1
Tanjiro,Ozaki,5,1
Tanjiro,Rui,68,1
Tanjiro,Gramps,5,1
Tanjiro,Hisa,5,1
Tanjiro,Kie,11,1
Tanjiro,Shinobu,70,1
Tanjiro,Kakushi,65,1
Tanjiro,Mitsuri,69,1
Tanjiro,Gyomei,38,1
Tanjiro,Sanemi,76,1
Tanjiro,Tengen,156,1
Tanjiro,Muichiro,133,1
Tanjiro,Obanai,33,1
Tanjiro,Kagaya,34,1
Tanjiro,Kanao,95,1
Tanjiro,Aoi,10,1
Tanjiro,Kiyo,11,1
Tanjiro,Naho,21,1
Tanjiro,Kanamori,12,1
Tanjiro,Kyojuro,135,1
Tanjiro,Enmu,107,1
Tanjiro,Akaza,186,1
Tanjiro,Senjuro,67,1
Tanjiro,Shinjuro,29,1
Tanjiro,Hotaru,73,1
Tanjiro,Koinatsu,43,1
Tanjiro,Suma,16,1
Tanjiro,Daki,66,1
Tanjiro,Gyutaro,80,1
Tanjiro,Hinatsuru,23,1
Tanjiro,Chachamaru,6,1
Tanjiro,Sumiyoshi,5,1
Tanjiro,Goto,26,1
Tanjiro,Tecchin,6,1
Tanjiro,Genya,139,1
Tanjiro,Kotetsu,82,1
Tanjiro,Hantengu,59,1
Tanjiro,Sekido,15,1
Tanjiro,Urogi,29,1
Tanjiro,Karaku,5,1
Tanjiro,Aizetsu,10,1
Tanjiro,Zohakuten,10,1
Tanjiro,Sayo,10,1
Tanjiro,Kanae,5,1
Tanjiro,Kaigaku,5,1
Tanjiro,Keizo,5,1
Tanjiro,Koyuki,6,1
Tanjiro,Doma,5,1
Tanjiro,Kiriya,11,1
Tanjiro,Kanata,5,1
Tanjiro,Yoriichi,21,1
Tanjiro,Takeuchi,6,1
Tanjiro,Suyako,5,1
Tanjiro,Kokushibo,5,1
Tanjiro,Sumihiko,5,1
Saburo,Inosuke,5,6
Saburo,Sumihiko,5,6
Giyu,Sakonji,20,3
Giyu,Kasugai,5,3
Giyu,Kagaya,12,3
Giyu,Shinobu,5,3
Giyu,Zenitsu,17,3
Giyu,Hisa,5,3
Giyu,Inosuke,27,3
Giyu,Rui,31,3
Giyu,Kakushi,23,3
Giyu,Murata,5,3
Giyu,Mitsuri,52,3
Giyu,Obanai,48,3
Giyu,Sanemi,100,3
Giyu,Muichiro,6,3
Giyu,Kyojuro,11,3
Giyu,Gyomei,5,3
Giyu,Amane,6,3
Giyu,Sabito,29,3
Giyu,Kanao,5,3
Giyu,Genya,5,3
Giyu,Muzan,110,3
Giyu,Yushiro,11,3
Giyu,Akaza,158,3
Giyu,Kokushibo,5,3
Giyu,Kanata,5,3
Giyu,Kiriya,11,3
Giyu,Kanae,6,3
Giyu,Tamayo,5,3
Giyu,Tengen,5,3
Sakonji,Sabito,6,1
