source,target,weight,community
Muzan,Akaza,3,0
Muzan,Omitsu,5,0
Muzan,Zenitsu,5,0
Muzan,Tanjiro,10,0
Muzan,Daki,6,0
Muzan,Nezuko,6,0
Muzan,Kagaya,6,0
Akaza,Kyojuro,4,0
Akaza,Zenitsu,5,0
Akaza,Obanai,5,0
Kyojuro,Zenitsu,5,1
Kyojuro,Tanjiro,36,1
Kyojuro,Shinjuro,11,1
Kyojuro,Senjuro,22,1
Kyojuro,Hotaru,5,1
Kyojuro,Giyu,5,1
Kyojuro,Daki,6,1
Kyojuro,Tengen,6,1
Zenitsu,Tanjiro,37,0
Zenitsu,Inosuke,84,0
Zenitsu,Kiyo,6,0
Zenitsu,Shinobu,6,0
Zenitsu,Tengen,66,0
Zenitsu,Koinatsu,5,0
Zenitsu,Hinatsuru,5,0
Zenitsu,Omitsu,5,0
Zenitsu,Suma,6,0
Zenitsu,Daki,27,0
Zenitsu,Gyutaro,6,0
Zenitsu,Nezuko,6,0
Tanjiro,Inosuke,50,1
Tanjiro,Kiyo,5,1
Tanjiro,Shinobu,6,1
Tanjiro,Senjuro,61,1
Tanjiro,Shinjuro,23,1
Tanjiro,Hotaru,6,1
Tanjiro,Tengen,93,1
Tanjiro,Naho,10,1
Tanjiro,Aoi,5,1
Tanjiro,Koinatsu,43,1
Tanjiro,Suma,11,1
Tanjiro,Daki,66,1
Tanjiro,Nezuko,55,1
Tanjiro,Sakonji,5,1
Tanjiro,Hanako,11,1
Tanjiro,Takeo,6,1
Tanjiro,Gyutaro,68,1
Tanjiro,Hinatsuru,12,1
Tanjiro,Chachamaru,6,1
Tanjiro,Tamayo,5,1
Tanjiro,Obanai,6,1
Inosuke,Tengen,77,0
Inosuke,Makio,5,0
Inosuke,Daki,34,0
Inosuke,Suma,5,0
Inosuke,Gyutaro,11,0
Inosuke,Nezuko,6,0
Inosuke,Shinobu,5,0
Kiyo,Tengen,6,2
Kiyo,Sumi,6,2
Kiyo,Shinobu,5,2
Shinobu,Tengen,5,2
Senjuro,Shinjuro,12,1
Tengen,Aoi,18,2
Tengen,Kanao,6,2
Tengen,Naho,5,2
Tengen,Sumi,6,2
Tengen,Koinatsu,6,2
Tengen,Suma,23,2
Tengen,Makio,35,2
Tengen,Omitsu,5,2
Tengen,Hinatsuru,46,2
Tengen,Nezuko,47,2
Tengen,Daki,49,2
Tengen,Gyutaro,104,2
Tengen,Kagaya,6,2
Tengen,Tamayo,5,2
Tengen,Obanai,5,2
Aoi,Naho,30,2
Aoi,Kanao,11,2
Naho,Kanao,10,2
Koinatsu,Suma,5,3
Koinatsu,Daki,12,3
Koinatsu,Hinatsuru,5,3
Suma,Makio,12,3
Suma,Hinatsuru,12,3
Makio,Hinatsuru,12,3
Hinatsuru,Daki,10,3
Hinatsuru,Gyutaro,27,3
Omitsu,Daki,12,0
Daki,Nezuko,66,0
Daki,Tamayo,6,0
Daki,Takeo,5,0
Daki,Gyutaro,33,0
Nezuko,Tamayo,5,0
Nezuko,Takeo,5,0
Nezuko,Gyutaro,10,0
Sakonji,Giyu,6,1
Tamayo,Chachamaru,6,0
Gyutaro,Kagaya,5,0
