source,target,weight,community
Tanjiro,Goto,14,1
Tanjiro,Kakushi,5,1
Tanjiro,Nezuko,5,1
Tanjiro,Shinobu,6,1
Tanjiro,Tamayo,4,1
Tanjiro,Aoi,5,1
Tanjiro,Hotaru,22,1
Tanjiro,Kyojuro,6,1
Tanjiro,Genya,51,1
Tanjiro,Inosuke,16,1
Tanjiro,Zenitsu,56,1
Tanjiro,Giyu,53,1
Tanjiro,Kagaya,11,1
Tanjiro,Sabito,11,1
Tanjiro,Muichiro,17,1
Tanjiro,Tengen,6,1
Tanjiro,Hinatsuru,5,1
Tanjiro,Suma,5,1
Tanjiro,Mitsuri,5,1
Tanjiro,Obanai,5,1
Tanjiro,Sanemi,43,1
Tanjiro,Gyomei,38,1
Tanjiro,Murata,6,1
Tanjiro,Sayo,10,1
Tanjiro,Muzan,10,1
Goto,Shinobu,4,1
Goto,Hotaru,6,1
Goto,Kyojuro,5,1
Goto,Inosuke,5,1
Kakushi,Nezuko,3,1
Kakushi,Tamayo,4,1
Kakushi,Naho,4,1
Kakushi,Hotaru,6,1
Nezuko,Zenitsu,6,1
Nezuko,Aoi,10,1
Nezuko,Inosuke,6,1
Nezuko,Sanemi,6,1
Nezuko,Kagaya,11,1
Nezuko,Mitsuri,5,1
Nezuko,Tamayo,5,1
Nezuko,Muzan,5,1
Nezuko,Gyomei,6,1
Nezuko,Giyu,5,1
Shinobu,Muichiro,17,2
Shinobu,Giyu,21,2
Shinobu,Sanemi,6,2
Shinobu,Kanao,16,2
Shinobu,Gyomei,11,2
Shinobu,Genya,5,2
Shinobu,Obanai,6,2
Tamayo,Kasugai,6,3
Tamayo,Kagaya,5,3
Tamayo,Yushiro,5,3
Tamayo,Muichiro,5,3
Tamayo,Muzan,12,3
Tamayo,Asakusa,6,3
Naho,Aoi,5,1
Aoi,Sumi,6,1
Aoi,Zenitsu,6,1
Zenitsu,Sumi,6,1
Zenitsu,Inosuke,12,1
Zenitsu,Kasugai,5,1
Zenitsu,Sanemi,33,1
Zenitsu,Genya,6,1
Zenitsu,Gyomei,18,1
Zenitsu,Murata,6,1
Inosuke,Genya,6,1
Inosuke,Kyojuro,6,1
Inosuke,Giyu,5,1
Inosuke,Gyomei,12,1
Inosuke,Murata,5,1
Sanemi,Obanai,11,2
Sanemi,Muichiro,5,2
Sanemi,Giyu,71,2
Sanemi,Mitsuri,5,2
Sanemi,Gyomei,6,2
Sanemi,Kanao,6,2
Sanemi,Genya,39,2
Sanemi,Muzan,10,2
Sanemi,Kagaya,12,2
Obanai,Mitsuri,5,2
Obanai,Muichiro,5,2
Obanai,Serpent,5,2
Mitsuri,Muichiro,15,2
Mitsuri,Muzan,5,2
Mitsuri,Gyomei,6,2
Mitsuri,Tengen,6,2
Mitsuri,Serpent,6,2
Mitsuri,Giyu,6,2
Muichiro,Muzan,6,2
Giyu,Kagaya,6,0
Giyu,Gyomei,5,0
Giyu,Amane,6,0
Giyu,Sakonji,6,0
Giyu,Sabito,29,0
Giyu,Kyojuro,5,0
Giyu,Kanao,5,0
Giyu,Genya,5,0
Kagaya,Gyomei,39,3
Kagaya,Amane,5,3
Kagaya,Yushiro,5,3
Kagaya,Genya,5,3
Kagaya,Sayo,5,3
Kagaya,Muzan,33,3
Kagaya,Hinaki,5,3
Kagaya,Nichika,5,3
Gyomei,Hotaru,5,3
Gyomei,Muzan,17,3
Gyomei,Genya,10,3
Gyomei,Sayo,5,3
Muzan,Nichika,5,3
Muzan,Hinaki,5,3
Muzan,Yushiro,5,3
Hotaru,Genya,5,1
Kasugai,Tengen,5,2
Kasugai,Kanao,5,2
Sabito,Tsutako,6,0
Yushiro,Asakusa,5,3
Hinatsuru,Makio,6,1
Makio,Suma,6,1
Nichika,Hinaki,6,3
