source,target,weight,community
Muzan,Tamayo,32,0
Muzan,Kagaya,10,0
Muzan,Gyomei,16,0
Muzan,Zenitsu,6,0
Muzan,Shinobu,10,0
Muzan,Giyu,20,0
Muzan,Kasugai,6,0
Muzan,Kuina,15,0
Muzan,Kaigaku,5,0
Muzan,Kokushibo,10,0
Muzan,Sakonji,5,0
Muzan,Tanjiro,60,0
Muzan,Senjuro,5,0
Muzan,Akaza,23,0
Muzan,Koyuki,6,0
Muzan,Inosuke,5,0
Muzan,Obanai,5,0
Muzan,Mitsuri,24,0
Muzan,Muichiro,10,0
Muzan,Yoriichi,11,0
Muzan,Sanemi,5,0
Muzan,Kiriya,23,0
Muzan,Yushiro,53,0
Muzan,Nakime,6,0
Muzan,Takeuchi,5,0
Tamayo,Tanjiro,5,0
Tamayo,Yushiro,10,0
Tamayo,Tengen,5,0
Tamayo,Nezuko,6,0
Tamayo,Akaza,5,0
Tamayo,Kanae,5,0
Tamayo,Takeuchi,6,0
Tamayo,Kiriya,5,0
Tanjiro,Giyu,110,1
Tanjiro,Kanae,5,1
Tanjiro,Kanao,5,1
Tanjiro,Kaigaku,5,1
Tanjiro,Shinobu,5,1
Tanjiro,Akaza,198,1
Tanjiro,Sakonji,5,1
Tanjiro,Nezuko,6,1
Tanjiro,Kyojuro,17,1
Tanjiro,Senjuro,6,1
Tanjiro,Inosuke,11,1
Tanjiro,Gyutaro,5,1
Tanjiro,Tanjuro,11,1
Tanjiro,Keizo,5,1
Tanjiro,Koyuki,6,1
Tanjiro,Doma,5,1
Tanjiro,Zenitsu,6,1
Tanjiro,Mitsuri,16,1
Tanjiro,Genya,5,1
Tanjiro,Sanemi,6,1
Tanjiro,Kiriya,12,1
Tanjiro,Obanai,6,1
Tanjiro,Yushiro,5,1
Giyu,Mitsuri,11,1
Giyu,Kanao,5,1
Giyu,Yushiro,11,1
Giyu,Akaza,158,1
Giyu,Kyojuro,11,1
Giyu,Kokushibo,5,1
Giyu,Kanata,5,1
Giyu,Muichiro,6,1
Giyu,Kiriya,5,1
Giyu,Obanai,12,1
Giyu,Nezuko,5,1
Mitsuri,Gyomei,10,0
Mitsuri,Obanai,11,0
Mitsuri,Nakime,16,0
Mitsuri,Muichiro,5,0
Mitsuri,Kuina,5,0
Mitsuri,Genya,5,0
Mitsuri,Yushiro,5,0
Gyomei,Muichiro,21,2
Gyomei,Kagaya,11,2
Gyomei,Sanemi,104,2
Gyomei,Kanae,5,2
Gyomei,Kokushibo,92,2
Gyomei,Kanao,5,2
Gyomei,Genya,5,2
Gyomei,Yushiro,5,2
Muichiro,Kagaya,6,2
Muichiro,Nakime,5,2
Muichiro,Kokushibo,144,2
Muichiro,Genya,45,2
Muichiro,Sanemi,44,2
Muichiro,Murata,5,2
Muichiro,Yoriichi,5,2
Muichiro,Yuichiro,15,2
Muichiro,Obanai,6,2
Kagaya,Sanemi,42,2
Kagaya,Hinaki,5,2
Kagaya,Kiriya,5,2
Kagaya,Kanae,11,2
Kagaya,Masachika,6,2
Sanemi,Inosuke,5,2
Sanemi,Genya,85,2
Sanemi,Zenitsu,5,2
Sanemi,Kokushibo,184,2
Sanemi,Masachika,23,2
Sanemi,Kanae,5,2
Sanemi,Yoriichi,5,2
Sanemi,Yuichiro,5,2
Inosuke,Genya,5,4
Inosuke,Kyojuro,6,4
Inosuke,Akaza,11,4
Inosuke,Kanao,80,4
Inosuke,Shinobu,26,4
Inosuke,Doma,11,4
Inosuke,Kotoha,17,4
Inosuke,Zenitsu,5,4
Genya,Kokushibo,117,2
Genya,Yoriichi,6,2
Genya,Senjuro,5,2
Zenitsu,Kanao,17,3
Zenitsu,Kaigaku,84,3
Zenitsu,Jigoro,23,3
Zenitsu,Kokushibo,5,3
Zenitsu,Yushiro,6,3
Zenitsu,Murata,11,3
Shinobu,Kanae,43,4
Shinobu,Doma,16,4
Shinobu,Kanao,99,4
Shinobu,Kasugai,12,4
Shinobu,Kuina,6,4
Shinobu,Kiriya,6,4
Shinobu,Kotoha,5,4
Shinobu,Aoi,5,4
Shinobu,Akaza,5,4
Kanae,Doma,15,2
Kanae,Kanao,17,2
Kanae,Akaza,5,2
Doma,Naho,5,4
Doma,Kanao,11,4
Kanao,Aoi,5,4
Kanao,Kuina,6,4
Kanao,Akaza,5,4
Kanao,Kotoha,6,4
Kanao,Naho,5,4
Aoi,Sumi,12,4
Sumi,Naho,12,4
Kaigaku,Jigoro,37,3
Kaigaku,Kokushibo,11,3
Kaigaku,Yushiro,5,3
Kaigaku,Murata,5,3
Kasugai,Yushiro,6,0
Kasugai,Akaza,5,0
Kasugai,Kokushibo,5,0
Kasugai,Kiriya,5,0
Yushiro,Kanata,6,0
Yushiro,Kiriya,11,0
Yushiro,Murata,16,0
Yushiro,Takeuchi,6,0
Yushiro,Nakime,17,0
Yushiro,Obanai,10,0
Kanata,Kuina,18,0
Kanata,Nichika,5,0
Kanata,Shinjuro,5,0
Kanata,Kiriya,11,0
Kanata,Tengen,5,0
Kuina,Kiriya,15,0
Kiriya,Tengen,6,0
Kiriya,Shinjuro,5,0
Nichika,Hinaki,6,2
Kokushibo,Akaza,5,2
Kokushibo,Yoriichi,57,2
Kokushibo,Michikatsu,5,2
Akaza,Nezuko,5,1
Akaza,Kyojuro,29,1
Akaza,Senjuro,6,1
Akaza,Tanjuro,5,1
Akaza,Gyutaro,6,1
Akaza,Keizo,16,1
Akaza,Koyuki,26,1
Tengen,Shinjuro,6,0
Shinjuro,Kyojuro,5,0
Kyojuro,Sakonji,5,1
Kyojuro,Senjuro,6,1
Sakonji,Nezuko,11,1
Keizo,Koyuki,38,1
Obanai,Nakime,6,0
Yoriichi,Michikatsu,119,2
