source,target,weight,community
Zenitsu,Tanjiro,17,1
Zenitsu,Inosuke,6,1
Zenitsu,Giyu,6,1
Zenitsu,Nezuko,11,1
Zenitsu,Gramps,36,1
Zenitsu,Shinobu,5,1
Zenitsu,Hisa,6,1
Zenitsu,Kakushi,5,1
Tanjiro,Nezuko,97,1
Tanjiro,Inosuke,118,1
Tanjiro,Murata,6,1
Tanjiro,Ozaki,5,1
Tanjiro,Rui,68,1
Tanjiro,Gramps,5,1
Tanjiro,Hisa,5,1
Tanjiro,Giyu,16,1
Tanjiro,Sakonji,5,1
Tanjiro,Haganezuka,5,1
Tanjiro,Tanjuro,11,1
Tanjiro,Kie,5,1
Tanjiro,Shinobu,11,1
Tanjiro,Kasugai,5,1
Tanjiro,Kakushi,5,1
Nezuko,Inosuke,5,1
Nezuko,Shinobu,11,1
Nezuko,Giyu,10,1
Nezuko,Rui,59,1
Nezuko,Kie,6,1
Nezuko,Kakushi,5,1
Inosuke,Hisa,9,2
Inosuke,Kasugai,5,2
Inosuke,Murata,22,2
Inosuke,Rui,5,2
Inosuke,Ozaki,5,2
Inosuke,Giyu,22,2
Inosuke,Shinobu,5,2
Hisa,Giyu,5,1
Kasugai,Giyu,5,0
Giyu,Kagaya,6,0
Giyu,Shinobu,15,0
Giyu,Rui,31,0
Giyu,Sakonji,6,0
Giyu,Kakushi,5,0
Kagaya,Shinobu,5,0
Shinobu,Murata,10,2
Shinobu,Rui,15,2
Murata,Rui,11,2
Rui,Ozaki,5,2
Rui,Muzan,10,2
Sakonji,Haganezuka,6,0
