source,target,weight,community
Zenitsu,Inosuke,27,3
Zenitsu,Tanjiro,28,3
Zenitsu,Kyojuro,21,3
Zenitsu,Enmu,5,3
Zenitsu,Nezuko,17,3
Inosuke,Kyojuro,12,3
Inosuke,Tanjiro,45,3
Inosuke,Nezuko,11,3
Inosuke,Enmu,37,3
Inosuke,Akaza,15,3
Kyojuro,Tanjiro,65,1
Kyojuro,Shinobu,6,1
Kyojuro,Enmu,16,1
Kyojuro,Nezuko,5,1
Kyojuro,Senjuro,15,1
Kyojuro,Akaza,100,1
Kyojuro,Kakushi,5,1
Kyojuro,Kagaya,5,1
Tanjiro,Shinobu,6,2
Tanjiro,Hanako,6,2
Tanjiro,Enmu,107,2
Tanjiro,Takeo,6,2
Tanjiro,Kie,6,2
Tanjiro,Shigeru,5,2
Tanjiro,Nezuko,52,2
Tanjiro,Rokuta,5,2
Tanjiro,Akaza,6,2
Tanjiro,Kakushi,6,2
Enmu,Shigeru,5,3
Enmu,Nezuko,5,3
Enmu,Muzan,5,3
Enmu,Rui,5,3
Senjuro,Shigeru,5,0
Shigeru,Hanako,6,0
Takeo,Kie,5,2
