source,target,weight,community
Kanata,Tanjiro,1,0
Kanata,Muzan,4,0
Kanata,Kiriya,11,0
Kanata,Nezuko,6,0
Kanata,Sumihiko,5,0
Kanata,Yoshiteru,20,0
Kanata,Toko,6,0
Tanjiro,Kiriya,6,1
Tanjiro,Kasugai,5,1
Tanjiro,Mitsuri,10,1
Tanjiro,Muzan,179,1
Tanjiro,Giyu,67,1
Tanjiro,Nezuko,109,1
Tanjiro,Sakonji,5,1
Tanjiro,Murata,12,1
Tanjiro,Yoriichi,21,1
Tanjiro,Takeuchi,6,1
Tanjiro,Yushiro,44,1
Tanjiro,Sumiyoshi,5,1
Tanjiro,Tamayo,6,1
Tanjiro,Kanao,36,1
Tanjiro,Suyako,5,1
Tanjiro,Obanai,11,1
Tanjiro,Shinjuro,6,1
Tanjiro,Zenitsu,42,1
Tanjiro,Inosuke,39,1
Tanjiro,Kakushi,28,1
Tanjiro,Kokushibo,5,1
Tanjiro,Shinobu,5,1
Tanjiro,Tengen,11,1
Tanjiro,Hinatsuru,6,1
Tanjiro,Kyojuro,11,1
Tanjiro,Sanemi,5,1
Tanjiro,Sumihiko,5,1
Kiriya,Muzan,14,1
Kiriya,Kasugai,5,1
Kiriya,Shinjuro,6,1
Kiriya,Nezuko,11,1
Kiriya,Kuina,12,1
Kiriya,Kakushi,17,1
Kiriya,Sanemi,10,1
Kiriya,Chachamaru,5,1
Kiriya,Tamayo,5,1
Kiriya,Giyu,6,1
Muzan,Yushiro,27,3
Muzan,Giyu,22,3
Muzan,Mitsuri,29,3
Muzan,Obanai,78,3
Muzan,Nezuko,45,3
Muzan,Gyomei,18,3
Muzan,Kokushibo,6,3
Muzan,Murata,6,3
Muzan,Yoriichi,38,3
Muzan,Tamayo,69,3
Muzan,Sanemi,29,3
Muzan,Shinjuro,6,3
Muzan,Zenitsu,34,3
Muzan,Takeuchi,5,3
Muzan,Kakushi,29,3
Muzan,Kanao,5,3
Muzan,Kuina,5,3
Muzan,Inosuke,28,3
Muzan,Kyojuro,5,3
Yushiro,Takeuchi,11,4
Yushiro,Mitsuri,5,4
Yushiro,Murata,6,4
Yushiro,Tamayo,21,4
Yushiro,Chachamaru,10,4
Yushiro,Gyomei,6,4
Yushiro,Obanai,6,4
Yushiro,Asakusa,6,4
Yushiro,Kanao,5,4
Yushiro,Kakushi,5,4
Yushiro,Nezuko,6,4
Mitsuri,Giyu,6,3
Mitsuri,Obanai,23,3
Mitsuri,Gyomei,11,3
Mitsuri,Kakushi,5,3
Mitsuri,Yoshiteru,6,3
Giyu,Nezuko,22,3
Giyu,Obanai,15,3
Giyu,Sanemi,17,3
Giyu,Gyomei,6,3
Giyu,Kakushi,30,3
Giyu,Kokushibo,5,3
Giyu,Zenitsu,17,3
Giyu,Kanae,6,3
Giyu,Tamayo,5,3
Giyu,Tengen,5,3
Obanai,Shinjuro,5,3
Obanai,Gyomei,10,3
Obanai,Tamayo,5,3
Obanai,Kokushibo,5,3
Obanai,Inosuke,6,3
Obanai,Sanemi,17,3
Obanai,Zenitsu,6,3
Obanai,Nezuko,5,3
Obanai,Yoshiteru,5,3
Nezuko,Sakonji,10,1
Nezuko,Shinjuro,5,1
Nezuko,Tamayo,17,1
Nezuko,Kuina,5,1
Nezuko,Asakusa,5,1
Nezuko,Inosuke,5,1
Nezuko,Zenitsu,23,1
Nezuko,Kanao,6,1
Nezuko,Kakushi,5,1
Nezuko,Shinobu,6,1
Nezuko,Makio,6,1
Nezuko,Senjuro,6,1
Nezuko,Sanemi,17,1
Nezuko,Toko,6,1
Nezuko,Yoshiteru,6,1
Sakonji,Tengen,5,0
Sakonji,Suma,6,0
Sakonji,Tamayo,6,0
Sakonji,Sumihiko,5,0
Sakonji,Jigoro,6,0
Sakonji,Sabito,5,0
Sakonji,Yoshiteru,5,0
Tengen,Shinjuro,6,1
Tengen,Makio,6,1
Tengen,Hinatsuru,5,1
Tengen,Senjuro,6,1
Shinjuro,Suma,5,1
Tamayo,Yoriichi,15,2
Tamayo,Michikatsu,17,2
Tamayo,Kakushi,5,2
Tamayo,Sanemi,5,2
Tamayo,Gyomei,5,2
Tamayo,Kanao,5,2
Tamayo,Goto,6,2
Tamayo,Yoshiteru,6,2
Gyomei,Sanemi,11,3
Gyomei,Inosuke,6,3
Gyomei,Kaigaku,5,3
Gyomei,Kakushi,6,3
Kokushibo,Sanemi,5,3
Sanemi,Murata,5,3
Sanemi,Kanao,5,3
Sanemi,Genya,5,3
Sanemi,Kakushi,6,3
Sanemi,Zenitsu,6,3
Murata,Takeuchi,17,4
Murata,Tojuro,5,4
Murata,Sumihiko,6,4
Yoriichi,Sumiyoshi,43,2
Yoriichi,Suyako,12,2
Yoriichi,Sumire,6,2
Yoriichi,Michikatsu,25,2
Yoriichi,Uta,26,2
Sumiyoshi,Sumire,5,2
Suyako,Sumire,5,2
Kakushi,Kanao,5,3
Kakushi,Kaigaku,5,3
Kakushi,Inosuke,5,3
Kakushi,Zenitsu,5,3
Zenitsu,Kanao,6,3
Zenitsu,Inosuke,29,3
Zenitsu,Kyojuro,5,3
Inosuke,Kanao,10,3
Inosuke,Saburo,5,3
Kanao,Kanae,5,3
Saburo,Sumihiko,5,0
Sumihiko,Yoshiteru,5,0
Sumihiko,Jigoro,6,0
Sumihiko,Naho,6,0
Sumihiko,Sanehiro,11,0
Sumihiko,Sabito,5,0
Sumihiko,Tojuro,23,0
Yoshiteru,Toko,20,0
Yoshiteru,Tenma,6,0
