source,target,weight,community
Tanjiro,Zenitsu,132,1
Tanjiro,Nezuko,6,1
Tanjiro,Teruko,10,1
Tanjiro,Kiyoshi,12,1
Tanjiro,Kyogai,38,1
Tanjiro,Tamayo,5,1
Tanjiro,Yushiro,5,1
Tanjiro,Shoichi,16,1
Tanjiro,Inosuke,26,1
Zenitsu,Nezuko,22,0
Zenitsu,Teruko,15,0
Zenitsu,Shoichi,57,0
Zenitsu,Kiyoshi,5,0
Zenitsu,Kyogai,16,0
Zenitsu,Tamayo,5,0
Zenitsu,Sakonji,5,0
Zenitsu,Inosuke,6,0
Nezuko,Rokuta,5,2
Nezuko,Shoichi,5,2
Teruko,Shoichi,6,1
Teruko,Kyogai,11,1
Teruko,Kiyoshi,12,1
Shoichi,Kiyoshi,5,2
Kyogai,Kiyoshi,10,1
Kyogai,Muzan,5,1
Kyogai,Sakonji,5,1
Kyogai,Yushiro,6,1
Kyogai,Tamayo,5,1
Kiyoshi,Muzan,5,1
Inosuke,Kasugai,5,0
