member1,member2
195657825,14670871
195657825,81247262
195657825,225795116
195657825,194923584
195657825,193256517
195657825,182873170
195657825,22535251
195657825,198233173
195657825,204655705
195657825,205233254
195657825,228998249
195657825,14486634
195657825,104160362
195657825,231320697
195657825,134601852
195657825,206261374
195657825,208813186
195657825,220028036
195657825,146791582
195657825,128674982
195657825,14687401
195657825,183528621
195657825,7670958
195657825,192867505
195657825,198548663
195657825,192404675
195657825,202566856
195657825,15359191
195657825,197901531
195657825,209775846
195657825,232746220
195657825,6515953
195657825,192863475
195657825,8813813
195657825,200043768
195657825,156626172
195657825,83381502
195657825,53566722
195657825,8346884
195657825,60857612
195657825,206843171
195657825,206400804
195657825,228125989
195657825,206900520
195657825,163802412
195657825,206286130
195657825,223333685
195657825,113528122
195657825,210058571
195657825,12266827
195657825,49724752
195657825,196386128
195657825,93060442
195657825,138128732
195657825,44903772
195657825,197541214
195657825,206159203
195657825,204184942
195657825,62106992
195657825,215952752
195657825,5655924
195657825,107126142
195657825,94461312
195657825,13962628
195657825,196271495
195657825,167296392
195657825,193752457
195657825,195390861
195657825,138382742
195657825,184704407
195657825,10026392
195657825,12258718
195657825,231812516
195657825,203836837
195657825,190672293
195657825,195145131
195657825,228625838
195657825,206179761
195657825,210931124
195657825,13991355
195657825,150289852
195657825,221838783
195657825,191765963
195657825,59162062
195657825,184999379
195657825,100343252
195657825,163565012
195657825,230837722
195657825,211840475
195657825,146451932
195657825,207023582
195657825,201948638
195657825,198385125
195657825,207908326
195657825,200695272
195657825,114757102
195657825,30854652
195657825,208625151
195657825,237567497
195657825,59264522
195657825,184626697
195657825,221998611
195657825,11247133
195657825,221191725
195657825,5652014
195657825,224386605
195657825,223055408
195657825,181292592
195657825,188857906
195657825,200625715
195657825,205270580
195657825,231054908
195657825,189718080
195657825,3612228
195657825,205233737
195657825,14229085
195657825,191233632
195657825,196669034
195657825,207240812
195657825,65072762
195657825,217714304
195657825,197598849
195657825,184012417
195657825,136097412
195657825,211086982
195657825,230669960
195657825,11808392
195657825,194875027
195657825,198385300
195657825,185790102
195657825,84201112
195657825,213073561
195657825,200498845
195657825,183799454
195657825,188649123
