timestep,node,infected,risky
0,195657825,0,1
0,14670871,0,1
0,81247262,0,1
0,225795116,0,1
0,194923584,0,1
0,193256517,0,1
0,182873170,0,1
0,22535251,0,1
0,198233173,0,1
0,204655705,0,1
0,205233254,0,1
0,228998249,0,1
0,14486634,0,1
0,104160362,0,1
0,231320697,0,1
0,134601852,0,1
0,206261374,0,1
0,208813186,0,1
0,220028036,0,1
0,146791582,0,1
0,128674982,0,1
0,14687401,0,1
0,183528621,0,1
0,7670958,0,1
0,192867505,0,1
0,198548663,0,1
0,192404675,0,1
0,202566856,0,1
0,15359191,0,1
0,197901531,1,0
0,209775846,1,0
0,232746220,1,0
0,6515953,0,1
0,192863475,0,1
0,8813813,0,1
0,200043768,0,1
0,156626172,0,1
0,83381502,0,1
0,53566722,0,1
0,8346884,0,1
0,60857612,0,1
0,206843171,0,1
0,206400804,0,0
0,228125989,0,0
0,206900520,0,0
0,163802412,0,0
0,206286130,0,0
0,223333685,0,0
0,113528122,0,0
0,210058571,0,0
0,12266827,0,0
0,49724752,0,0
0,196386128,0,0
0,93060442,0,0
0,138128732,0,0
0,44903772,0,0
0,197541214,0,0
0,206159203,0,0
0,204184942,0,0
0,62106992,0,0
0,215952752,0,1
0,5655924,1,0
0,107126142,0,0
0,94461312,0,0
0,13962628,0,0
0,196271495,0,0
0,167296392,0,0
0,193752457,0,0
0,195390861,0,0
0,138382742,1,0
0,184704407,0,0
0,10026392,1,0
0,12258718,1,0
0,231812516,0,0
0,203836837,0,0
0,190672293,0,0
0,195145131,0,0
0,228625838,1,0
0,206179761,0,0
0,210931124,0,0
0,13991355,0,0
0,150289852,0,0
0,221838783,0,0
0,191765963,0,0
0,59162062,0,0
0,184999379,0,0
0,100343252,0,0
0,163565012,0,0
0,230837722,0,0
0,211840475,0,0
0,146451932,0,0
0,207023582,0,0
0,201948638,0,0
0,198385125,0,0
0,207908326,0,0
0,200695272,0,0
0,114757102,0,0
0,30854652,0,0
0,208625151,0,0
0,237567497,0,0
0,59264522,0,0
0,184626697,0,0
0,221998611,0,0
0,11247133,0,0
0,221191725,0,0
0,5652014,0,0
0,224386605,0,0
0,223055408,0,0
0,181292592,0,0
0,188857906,0,0
0,200625715,0,0
0,205270580,0,0
0,231054908,0,1
0,189718080,0,0
0,3612228,0,0
0,205233737,0,0
0,14229085,0,0
0,191233632,0,0
0,196669034,0,0
0,207240812,0,0
0,65072762,0,0
0,217714304,0,0
0,197598849,0,0
0,184012417,0,0
0,136097412,0,0
0,211086982,0,0
0,230669960,0,0
0,11808392,0,0
0,194875027,0,0
0,198385300,0,0
0,185790102,0,0
0,84201112,0,0
0,213073561,0,0
0,200498845,0,0
0,183799454,0,0
0,188649123,0,0
0,206835363,0,0
0,229519013,0,0
0,120147622,0,0
0,59465382,0,0
0,226393774,0,0
0,144256692,0,0
0,191159999,0,0
0,14225093,0,0
0,212623048,0,0
0,16019151,0,0
0,113798872,0,0
0,194338521,0,0
0,186187494,0,0
0,220225255,0,0
0,51490542,0,0
0,103288562,0,0
0,188567282,0,0
0,10743543,0,0
