timestep,node,type
0,195657825,people
0,14670871,people
0,81247262,people
0,225795116,people
0,194923584,people
0,193256517,people
0,182873170,people
0,22535251,people
0,198233173,people
0,204655705,people
0,205233254,people
0,228998249,people
0,14486634,people
0,104160362,people
0,231320697,people
0,134601852,people
0,206261374,people
0,208813186,people
0,220028036,people
0,146791582,people
0,128674982,people
0,14687401,people
0,183528621,people
0,7670958,people
0,192867505,people
0,198548663,people
0,192404675,people
0,202566856,people
0,15359191,people
0,197901531,people
0,209775846,people
0,232746220,people
0,6515953,people
0,192863475,people
0,8813813,people
0,200043768,people
0,156626172,people
0,83381502,people
0,53566722,people
0,8346884,people
0,60857612,people
0,206843171,people
0,206400804,people
0,228125989,people
0,206900520,people
0,163802412,people
0,206286130,people
0,223333685,people
0,113528122,people
0,210058571,people
0,12266827,people
0,49724752,people
0,196386128,people
0,93060442,people
0,138128732,people
0,44903772,people
0,197541214,people
0,206159203,people
0,204184942,people
0,62106992,people
0,215952752,people
0,5655924,people
0,107126142,people
0,94461312,people
0,13962628,people
0,196271495,people
0,167296392,people
0,193752457,people
0,195390861,people
0,138382742,people
0,184704407,people
0,10026392,people
0,12258718,people
0,231812516,people
0,203836837,people
0,190672293,people
0,195145131,people
0,228625838,people
0,206179761,people
0,210931124,people
0,13991355,people
0,150289852,people
0,221838783,people
0,191765963,people
0,59162062,people
0,184999379,people
0,100343252,people
0,163565012,people
0,230837722,people
0,211840475,people
0,146451932,people
0,207023582,people
0,201948638,people
0,198385125,people
0,207908326,people
0,200695272,people
0,114757102,people
0,30854652,people
0,208625151,people
0,237567497,people
0,59264522,people
0,184626697,people
0,221998611,people
0,11247133,people
0,221191725,people
0,5652014,people
0,224386605,people
0,223055408,people
0,181292592,people
0,188857906,people
0,200625715,people
0,205270580,people
0,231054908,people
0,189718080,people
0,3612228,people
0,205233737,people
0,14229085,people
0,191233632,people
0,196669034,people
0,207240812,people
0,65072762,people
0,217714304,people
0,197598849,people
0,184012417,people
0,136097412,people
0,211086982,people
0,230669960,people
0,11808392,people
0,194875027,people
0,198385300,people
0,185790102,people
0,84201112,people
0,213073561,people
0,200498845,people
0,183799454,people
0,188649123,people
0,206835363,people
0,229519013,people
0,120147622,people
0,59465382,people
0,226393774,people
0,144256692,people
0,191159999,people
0,14225093,people
0,212623048,people
0,16019151,people
0,113798872,people
0,194338521,people
0,186187494,people
0,220225255,people
0,51490542,people
0,103288562,people
0,188567282,people
0,10743543,people
0,9219838,people
0,200052480,people
0,158002952,people
0,4353803,people
0,214241035,people
0,199499533,people
0,205913902,people
0,187273009,people
0,220843827,people
0,108670772,people
0,208174900,people
0,184991548,people
0,198205248,people
0,187256640,people
0,43712322,people
0,78520132,people
0,186904388,people
0,189685577,people
0,203468630,people
0,18943841,people
0,205496163,people
0,203730789,people
0,8785766,people
0,192229223,people
0,197234536,people
0,188100470,people
0,49397622,people
0,6057849,people
0,149172092,people
0,175300482,people
0,3436418,people
0,196095880,people
0,208965513,people
0,208015243,people
0,158465932,people
0,54914962,people
0,225509283,people
0,185409444,people
0,156270502,people
0,192032680,people
0,130158522,people
0,188190655,people
0,230285247,people
0,230969285,people
0,225226693,people
0,200548296,people
0,188530638,people
0,227524561,people
0,188010474,people
0,216489965,people
0,6758382,people
0,11149295,people
0,202424309,people
0,233426938,people
0,209453152,people
0,128991232,people
0,146040842,people
0,188194830,people
0,226779164,people
0,137420832,people
0,140965932,people
0,211365934,people
0,201822256,people
0,98742322,people
